Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
RM,2021-01-20 09:15:23.859039232,3010,10,40F69627952EC0EA68D88EC5985AD6F9,3BA90CD22423962D7160ED7101C1BAC8
RM,2021-01-20 09:15:23.859054592,3005,15,1F58EEABF7995E9B424FBF4063FF51BF,3BA90CD22423962D7160ED7101C1BAC8
RM,2021-01-20 09:18:37.643493632,3080,10,B7CAF5FA0124196676B7BFFB1B9DCCBD,DACD69C501EC6823BB7B1211964620B4
RM,2021-01-20 09:18:37.643508992,3085,37,B7CAF5FA0124196676B7BFFB1B9DCCBD,7540A2604005AF5C553898FC69F5A613
RM,2021-01-20 09:18:39.317504768,3080,10,0419B0453BA089D614B2585ED844F35B,8A6E69B6F2C1EF5528B723181A1871F0
RM,2021-01-20 09:18:39.317520128,3085,5,0419B0453BA089D614B2585ED844F35B,7540A2604005AF5C553898FC69F5A613
RM,2021-01-20 09:20:00.706588672,3085,25,498F53452FCBF164A0EC4A83F37A26D0,7540A2604005AF5C553898FC69F5A613
RM,2021-01-20 09:24:00.822753792,3050,10,8253C8A980682D7E67CD2CC8CF680E31,506ABEBB797C673FDBEB17BE0F798730
RM,2021-01-20 09:24:00.822891264,3045,10,6A7919FB1E1070638D11A59651D88544,BB051922E428AFA7B8D2CBD750E0B296
RM,2021-01-20 09:24:15.917449984,3050,10,4E18DEFDAC2058EE0C30715A688F8B71,45C8102CCD0CBFC0488BD295AAF3F1BE
RM,2021-01-20 09:24:15.917587200,3050,10,F839CC523D53AB970BDB9D7F04F70B2F,45C8102CCD0CBFC0488BD295AAF3F1BE
RM,2021-01-20 09:24:34.771652096,3050,64,C7196D63C1565325F59CC897C8A5206D,506ABEBB797C673FDBEB17BE0F798730
RM,2021-01-20 09:24:34.771759104,3045,8,6A7919FB1E1070638D11A59651D88544,4586C85C7043AAF86FCA380D87A92E1C
RM,2021-01-20 09:24:34.771774208,3045,2,77855559B292A257D83C0621358F2ED6,4586C85C7043AAF86FCA380D87A92E1C
RM,2021-01-20 09:25:32.824142336,3080,5,6CB34CB18097C5338E83556C731E1DDE,3D85AB3656308983E31418277101BE59
RM,2021-01-20 09:25:50.514251776,3080,10,6CB34CB18097C5338E83556C731E1DDE,0842A1C90006706DF1BEFAA98705E620
RM,2021-01-20 09:32:33.055877632,3035,3,B1B4454E023E48622DC41DAB7A9CF4B8,E9B6D171AC32AE9F90DD18D37F173130
RM,2021-01-20 09:32:33.056030208,3035,2,22BDE2A9554E6FAE3E79CD2A30D0C97C,1D0D9CC3381E6A794B043AC63BA375C7
RM,2021-01-20 09:32:33.056121856,3035,1,6D066D12FDCB6995813BFD7D0304EAD4,1D0D9CC3381E6A794B043AC63BA375C7
RM,2021-01-20 09:32:33.056823808,3035,1,6D066D12FDCB6995813BFD7D0304EAD4,B62339E6A4D4E9EAB779F3210645F750
RM,2021-01-20 09:32:35.400802560,3035,67,169DC4BF1430D9293C9CF4F902A6E5BB,64584688E6D253286D3D390ECAF88F20
RM,2021-01-20 09:32:50.403244032,3035,1,1F58EEABF7995E9B424FBF4063FF51BF,64584688E6D253286D3D390ECAF88F20
RM,2021-01-20 09:32:50.403259392,3035,25,1F58EEABF7995E9B424FBF4063FF51BF,3AF21172A4040A08E8730C0C20FC4369
RM,2021-01-20 09:33:20.191146752,3030,24,1F58EEABF7995E9B424FBF4063FF51BF,35A193A33EA169770E594CE51CBF138B
RM,2021-01-20 09:33:20.191162112,3030,66,6D05FCDB9D73F7F910F46ED56C4D92C4,35A193A33EA169770E594CE51CBF138B
RM,2021-01-20 09:33:20.191177472,3030,235,1F58EEABF7995E9B424FBF4063FF51BF,35A193A33EA169770E594CE51CBF138B
RM,2021-01-20 09:33:20.191253760,3025,2,BA5480330856D248D25F91B56897FF4A,CF7B29BA3118FC1E9B882AC15CD86639
RM,2021-01-20 09:33:20.191390976,3025,2,BA5480330856D248D25F91B56897FF4A,E666D1B238BD8A067AEBDB7D65AA4B79
RM,2021-01-20 09:33:25.953888000,3025,13,BA5480330856D248D25F91B56897FF4A,D9429D0E253A7F79C97722B53579C390
RM,2021-01-20 09:34:14.354629632,3025,65,F42366D4B6871C55E96A0C101D1A795A,2A12A3EF008E5ABB1B910823E2B75C9D
RM,2021-01-20 09:34:37.172561664,3030,500,F64A6D1BB816E2EDDDD5C81BF4AEC7EE,35A193A33EA169770E594CE51CBF138B
RM,2021-01-20 09:34:37.172653312,3030,2,02214E60010BEA96041700FB8CC3BC4A,35A193A33EA169770E594CE51CBF138B
RM,2021-01-20 09:34:37.172760064,3030,1,6FF99E347D529F33DE84912A28BEC265,35A193A33EA169770E594CE51CBF138B
