Record Indicator,Order Number,Transaction Time,Buy/Sell Indicator,Activity Type,Volume Disclosed,Volume Original,Limit Price,Trigger Price,Market Order Flag,Stop Loss Flag,IO Flag
PO,BC7CB26098DE8E0B583424EF33BA2D2B,2021-01-20 09:00:00.168731648,B,1,0,1,14690,0,N,N,N
PO,3D89F12CA4DC02AE4F9E60490F25894E,2021-01-20 09:00:00.275085568,S,1,0,100,18700,0,N,N,N
PO,5A7FC9806E96A7CEBBCD9707B4EEE862,2021-01-20 09:00:00.275131136,S,1,0,100,18700,0,N,N,N
PO,67C9E5A1201A4E110B35D8EC85AC66B2,2021-01-20 09:00:01.256332288,B,1,0,100,14360,0,N,N,N
PO,7FA164429CDD0713533AA26D2AD0C6C7,2021-01-20 09:00:01.568969728,B,1,0,100,13360,0,N,N,N
PO,793E56EAAF646A3000BC6A5C31C8F30F,2021-01-20 09:00:01.928588800,B,1,0,100,13060,0,N,N,N
PO,24ED1D27E2918AF613AE6D860548EC4B,2021-01-20 09:00:02.398483200,S,1,0,1,16560,0,N,N,N
PO,DF47DAAD2152E82152A7BECC8647C27D,2021-01-20 09:00:02.530792192,S,1,0,99,18700,0,N,N,N
PO,2AC23CAE339F422CCFC1ABDC7E0FBD64,2021-01-20 09:00:02.883514368,B,1,0,1000,15300,0,N,N,N
PO,7F77F198C07B4DF080429029995837A8,2021-01-20 09:00:02.883865344,B,1,0,1000,15200,0,N,N,N
PO,3487B601486FDBB2DC8FC7CAF7B779DE,2021-01-20 09:00:02.891647232,B,1,0,1000,15100,0,N,N,N
PO,4F615D7FCBFC9ED1C6AE8500112A64F3,2021-01-20 09:00:02.891662592,B,1,0,1000,15000,0,N,N,N
PO,A1B11E23A4CED2D6EF0B07FC1BAD14B7,2021-01-20 09:00:02.891677952,B,1,0,1000,14900,0,N,N,N
PO,44668CA2D88BAD41499CC65BC2D6CC1C,2021-01-20 09:00:02.891708416,B,1,0,1000,14800,0,N,N,N
PO,0CBD12BE818F058D8775DED05BDFB7B7,2021-01-20 09:00:03.178512640,S,1,0,10,15800,0,N,N,N
PO,B416D681980E7DD5E4D22F26EA095A21,2021-01-20 09:00:05.207931392,B,1,0,50,15070,0,N,N,N
PO,BC702BE23DA2C9140272C61FBE67CDAB,2021-01-20 09:00:07.183700480,S,1,0,1000,18500,0,N,N,N
PO,E497E557BDDBA46D2189E6BE109209D1,2021-01-20 09:00:10.448761088,B,1,0,25,15040,0,N,N,N
PO,574721DCB250D7E043ACCE0AF4EDD7F6,2021-01-20 09:00:17.101776128,S,1,0,50,18390,0,N,N,N
PO,157DCEA566A62783D2F18552F19B0F41,2021-01-20 09:00:17.220230144,B,1,0,1,15100,0,N,N,N
PO,B65E4CB8B009DB0F2FBA3AB0F05BD6B0,2021-01-20 09:00:19.086822400,S,1,0,15,16295,0,N,N,N
PO,70451B63825CBECE8767C83841807D3F,2021-01-20 09:00:20.056579584,B,1,0,100,14500,0,N,N,N
PO,6900E61A842B56C4C24E2455C5F07AFD,2021-01-20 09:00:20.093658368,B,1,0,1,13500,0,N,N,N
PO,2C0857D8D67CF390421849ECAF95F39C,2021-01-20 09:00:20.121169920,B,1,0,10,13120,0,N,N,N
PO,11894AC00FEA9C842EF1B4B5E064868A,2021-01-20 09:00:20.121414144,S,1,0,7,16470,0,N,N,N
PO,04CB5B208331BB987FFE7537B9347C14,2021-01-20 09:00:23.059936512,S,1,0,160,16540,0,N,N,N
PO,FC37FF7798A6D6185E241566E7A5F028,2021-01-20 09:00:28.945816064,B,1,0,40,12745,0,N,N,N
PO,2542F7D8276DC955D1420874D52CF3F4,2021-01-20 09:00:31.259109376,B,1,0,25,14500,0,N,N,N
PO,CFF503C8AD3D41A9E931E1C3752AD898,2021-01-20 09:00:32.215393024,B,1,0,50,15070,0,N,N,N
PO,0CE427775A1A010E9CDA820366FD34C7,2021-01-20 09:00:36.699096576,S,1,0,482,16190,0,N,N,N
PO,A86D98F70ECE64D89B123044F4F0B127,2021-01-20 09:00:40.546066176,B,1,0,164,14000,0,N,N,N
PO,255EDD1163457BD2DE907AE18909E691,2021-01-20 09:00:41.278976512,S,1,0,150,15895,0,N,N,N
PO,54AF2A958F6BB0EA8061B1C96D26DBBB,2021-01-20 09:00:47.087799040,B,1,0,10,15000,0,N,N,N
