Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
PO,2021-01-20 09:07:58.350113024,19375,1,D0E224A063DB87C064F86B964CBE8BB3,0791C2FD0242BA3231A842BDB07EF718
RM,2021-01-20 09:15:00.682632448,19375,15,1485EAD20B4F0704EF394F0AB407C55A,0791C2FD0242BA3231A842BDB07EF718
RM,2021-01-20 09:15:19.918868992,19375,1,8D11633F00000D47862F58488DC8108A,0791C2FD0242BA3231A842BDB07EF718
RM,2021-01-20 09:15:58.377899264,19375,1,8B57A177A03F858AF573CF8B74DF1E65,0791C2FD0242BA3231A842BDB07EF718
RM,2021-01-20 09:15:58.378570496,19205,100,15135B8DF0A84BAE9C303704CFD868AE,B9A67C69868913E2392C3DC158ED50EA
RM,2021-01-20 09:15:58.378600960,19205,10,15135B8DF0A84BAE9C303704CFD868AE,8F155AA7E09A242B61D14767D3EFE99E
RM,2021-01-20 09:15:58.378631680,19205,10,15135B8DF0A84BAE9C303704CFD868AE,DE671091BA3C1DF85D75288B623EF1FE
RM,2021-01-20 09:15:58.378723072,19205,10,15135B8DF0A84BAE9C303704CFD868AE,5CA6983A7C1227414B80F58CA792B7E1
RM,2021-01-20 09:15:58.378784256,19205,10,15135B8DF0A84BAE9C303704CFD868AE,B703B91514769637241A29C9291C0151
RM,2021-01-20 09:15:58.379180800,19205,60,15135B8DF0A84BAE9C303704CFD868AE,5B43420499E5D42C0CCE5EEF7F9B6BAB
RM,2021-01-20 09:15:58.379196160,19200,40,A35D63FBA57683448A17476A6E1FDCEB,5B43420499E5D42C0CCE5EEF7F9B6BAB
RM,2021-01-20 09:15:58.379241984,19200,10,A35D63FBA57683448A17476A6E1FDCEB,C52DAC2F80526D1C4C8A201ACB3B6B51
RM,2021-01-20 09:15:58.379302912,19200,10,A35D63FBA57683448A17476A6E1FDCEB,C3B08E8A02AA5098658B3EA368128780
RM,2021-01-20 09:15:58.379348736,19200,10,A35D63FBA57683448A17476A6E1FDCEB,00843D48ACD82B9CAC5F6B85950F683A
RM,2021-01-20 09:15:58.379501312,19200,10,A35D63FBA57683448A17476A6E1FDCEB,599FBC96BB9136D0B35E0FCF0DC56E20
RM,2021-01-20 09:15:58.379699712,19200,20,A35D63FBA57683448A17476A6E1FDCEB,B56B2CBF60F526A89237D394B1178ABA
RM,2021-01-20 09:15:58.379715072,19150,80,A9CF04504D02E6E6882D8932A4FBB891,B56B2CBF60F526A89237D394B1178ABA
RM,2021-01-20 09:15:58.379791360,19150,10,A9CF04504D02E6E6882D8932A4FBB891,B6061C3A3D8B01C6CF3DFB5A4AC1159A
RM,2021-01-20 09:15:58.379928576,19150,8,A9CF04504D02E6E6882D8932A4FBB891,65B9FE22EF9599B6E066365191064566
RM,2021-01-20 09:15:58.379989504,19150,10,A9CF04504D02E6E6882D8932A4FBB891,FCB2A3743B599D29501D289FD7B69443
RM,2021-01-20 09:15:58.380111616,19150,10,A9CF04504D02E6E6882D8932A4FBB891,BCC3B4C9C9E763AAA22955D6703A2DD7
RM,2021-01-20 09:15:58.380294912,19150,100,A9CF04504D02E6E6882D8932A4FBB891,7A7D8F510C6B465E05ACFC64055CDDC3
RM,2021-01-20 09:15:58.380600064,19150,10,A9CF04504D02E6E6882D8932A4FBB891,67F66B1E8CC26075076EF99A96BD320E
RM,2021-01-20 09:15:58.380676352,19150,4,A9CF04504D02E6E6882D8932A4FBB891,E3723EF4AE4F1679AAE0468BB54AAABC
RM,2021-01-20 09:15:58.380721920,19150,10,A9CF04504D02E6E6882D8932A4FBB891,4DE779ABE1040C1AB0078C24CB1F329B
RM,2021-01-20 09:15:58.380859392,19150,100,A9CF04504D02E6E6882D8932A4FBB891,0C4841DE66C400CF709494BA3B6F4975
RM,2021-01-20 09:15:58.380996608,19150,8,A9CF04504D02E6E6882D8932A4FBB891,9DAF95A98BFA826100223A759A358C21
RM,2021-01-20 09:15:58.381210368,19150,10,A9CF04504D02E6E6882D8932A4FBB891,1A53AD784661DEC88D06A5DAD4DB69F6
RM,2021-01-20 09:15:58.381347584,19150,8,A9CF04504D02E6E6882D8932A4FBB891,D559F3498A44998094A98A9D9555A1E9
RM,2021-01-20 09:15:58.381393408,19150,10,A9CF04504D02E6E6882D8932A4FBB891,8FEDC6DC392B49C01D97C3F6FE621710
RM,2021-01-20 09:15:58.381439232,19150,100,A9CF04504D02E6E6882D8932A4FBB891,8C33C936C7953BC9412235A0AE4AD63A
RM,2021-01-20 09:15:58.381820672,19150,10,A9CF04504D02E6E6882D8932A4FBB891,D7513C3D8F0A2841B5021426469F216A
RM,2021-01-20 09:15:58.382003712,19150,12,A9CF04504D02E6E6882D8932A4FBB891,B2C654A40F3422EFD723263AED7354BB
RM,2021-01-20 09:15:58.382019072,19100,88,DA90B194AD2F9E31D6EFF539C23D195A,B2C654A40F3422EFD723263AED7354BB
RM,2021-01-20 09:15:58.382049536,19100,10,DA90B194AD2F9E31D6EFF539C23D195A,2F5772E0AFF7D7D2989B807F276E8A0F
RM,2021-01-20 09:15:58.382110720,19100,2,DA90B194AD2F9E31D6EFF539C23D195A,CB278F525DDA82E2B8A166A10BF745CB
RM,2021-01-20 09:15:58.382446336,19100,10,DA90B194AD2F9E31D6EFF539C23D195A,CF1C5F01D1C00C60064584894DDD6F94
RM,2021-01-20 09:15:58.382736128,19100,100,DA90B194AD2F9E31D6EFF539C23D195A,064C2BEF21504D8673C618B15A575B6D
RM,2021-01-20 09:15:58.382812416,19100,10,DA90B194AD2F9E31D6EFF539C23D195A,173ADC57BA8AEC78060598C98F9571F2
RM,2021-01-20 09:15:58.382843136,19100,10,DA90B194AD2F9E31D6EFF539C23D195A,73118AB35DFAE73B74F48C65BE825345
RM,2021-01-20 09:15:58.383041280,19100,10,DA90B194AD2F9E31D6EFF539C23D195A,EC1749EA321488F1630F12661972F2B3
RM,2021-01-20 09:15:58.383285504,19100,57,DA90B194AD2F9E31D6EFF539C23D195A,52BB05103F6FF672B684D74AC25B9795
RM,2021-01-20 09:15:58.383972096,19100,8,DA90B194AD2F9E31D6EFF539C23D195A,CF5D086400BB4E53AD2D40FC17EE5781
RM,2021-01-20 09:16:02.498535168,19375,1,3A6C92790C0A4FD2C535A1D2A828EC24,0791C2FD0242BA3231A842BDB07EF718
RM,2021-01-20 09:16:08.507781888,19195,1,44053F941A0912AA6B22C4EE067DC293,C01E7D484A0B4AF4C1E171EB27F7DEA9
RM,2021-01-20 09:16:09.137527552,19100,195,DA90B194AD2F9E31D6EFF539C23D195A,FC6CE985E35419D55DBA01FC096EAFC9
RM,2021-01-20 09:16:09.502792448,19100,3,BA22CC742658320F0C868201C39B3753,FC6CE985E35419D55DBA01FC096EAFC9
RM,2021-01-20 09:16:14.743636992,19380,1,2D2B76E2E26137E454845C477C5AB301,BEE96977A21D0E4124795C92CE11E509
RM,2021-01-20 09:16:27.742996224,19295,1,4DB373AF44B3FBF8C7D4FFA0765FA15C,E6E0ABC8977C9EE31A61BD01F26A6D21
RM,2021-01-20 09:16:30.956512512,19295,1,3B6A24FA962D0155B5ABBE0FD147B313,E6E0ABC8977C9EE31A61BD01F26A6D21
RM,2021-01-20 09:16:34.955902208,19295,1,8F0977776E367F2B3E6D624B31721D09,E6E0ABC8977C9EE31A61BD01F26A6D21
RM,2021-01-20 09:16:43.904647936,19295,1,957E670D160A56BFBC7601B526553E23,E6E0ABC8977C9EE31A61BD01F26A6D21
RM,2021-01-20 09:16:50.876617472,19295,1,93EBE9D7DA81ACC7101E052E10206F57,E6E0ABC8977C9EE31A61BD01F26A6D21
RM,2021-01-20 09:17:00.329406720,19295,2,4473B21677892526F652671D4FC50E48,E6E0ABC8977C9EE31A61BD01F26A6D21
RM,2021-01-20 09:18:02.743881216,19295,5,6BEF37301D92B5FDD51CE4BFA33F967E,E6E0ABC8977C9EE31A61BD01F26A6D21
