Record Indicator,Order Number,Transaction Time,Buy/Sell Indicator,Activity Type,Volume Disclosed,Volume Original,Limit Price,Trigger Price,Market Order Flag,Stop Loss Flag,IO Flag
PO,8CA9185B41B1D3C93D97C6E70EF937C6,2021-01-20 09:00:01.094238208,B,1,0,100,19000,0,N,N,N
PO,A35D63FBA57683448A17476A6E1FDCEB,2021-01-20 09:00:01.094451968,B,1,0,100,19200,0,N,N,N
PO,BEE96977A21D0E4124795C92CE11E509,2021-01-20 09:00:04.058838016,S,1,0,1,19380,0,N,N,N
PO,0C427935A64468690A0D18E40BEE2B84,2021-01-20 09:00:05.182800384,B,1,0,500,19005,0,N,N,N
PO,425C4361178F1C03C9C2A7ED1C2C234E,2021-01-20 09:00:05.182815488,S,1,0,200,19695,0,N,N,N
PO,543955954672557C975ED03A67596586,2021-01-20 09:00:07.180358912,S,1,0,2500,20140,0,N,N,N
PO,60B44FEB318292B8B150CF176102188B,2021-01-20 09:00:07.180389376,S,1,0,2500,20290,0,N,N,N
PO,DA90B194AD2F9E31D6EFF539C23D195A,2021-01-20 09:00:09.041427712,B,1,0,500,19100,0,N,N,N
PO,679E55541738017C61F7D35B11093345,2021-01-20 09:00:10.182586624,S,1,0,50,19900,0,N,N,N
PO,4C1597786EE81DC2E738DE6E2B023913,2021-01-20 09:00:19.157470720,B,1,0,30,19000,0,N,N,N
PO,D750D7E6F5B64F38DACE496E0EB03FE2,2021-01-20 09:00:20.121658368,S,1,0,15,19380,0,N,N,N
PO,207425C00FC47F27978806569E07C85F,2021-01-20 09:00:38.214370816,B,1,0,15,18730,0,N,N,N
PO,9DCAFFA4605596008C107328B3413399,2021-01-20 09:00:38.229843200,B,1,0,20,18415,0,N,N,N
PO,9C6AA444E1B0D7A92310A8D0532B412B,2021-01-20 09:00:42.264190720,B,1,0,3,19000,0,N,N,N
PO,D0E224A063DB87C064F86B964CBE8BB3,2021-01-20 09:00:53.719589120,B,1,0,1,0,0,Y,N,N
PO,15135B8DF0A84BAE9C303704CFD868AE,2021-01-20 09:01:23.546508800,B,1,0,200,19205,0,N,N,N
PO,425C4361178F1C03C9C2A7ED1C2C234E,2021-01-20 09:01:32.092880128,S,4,0,200,19895,0,N,N,N
PO,0AAB5DDB61E5546AC572981CEFD741A2,2021-01-20 09:04:11.202468864,S,1,0,10,20000,0,N,N,N
PO,83E7FFCDF167A2F14BE7F8DAD5BEF876,2021-01-20 09:06:19.101577728,B,1,0,25,18500,0,N,N,N
PO,4BF5F049A9B01EFABA651FEBDF113831,2021-01-20 09:06:24.195571968,S,1,0,100,20100,0,N,N,N
PO,B7D6B41D7EEDD60AC8A06DE4179CDFDB,2021-01-20 09:06:24.292160000,B,1,0,100,18800,0,N,N,N
PO,697689128A6D23723909C519562D7F46,2021-01-20 09:06:34.127243008,B,1,0,10,19000,0,N,N,N
PO,0791C2FD0242BA3231A842BDB07EF718,2021-01-20 09:07:35.220077568,S,1,0,150,19380,0,N,N,N
PO,0791C2FD0242BA3231A842BDB07EF718,2021-01-20 09:07:36.439239424,S,4,0,150,19375,0,N,N,N
PO,425C4361178F1C03C9C2A7ED1C2C234E,2021-01-20 09:07:37.114944512,S,3,0,200,19895,0,N,N,N
PO,0791C2FD0242BA3231A842BDB07EF718,2021-01-20 09:07:42.408493056,S,4,0,50,19380,0,N,N,N
PO,0791C2FD0242BA3231A842BDB07EF718,2021-01-20 09:07:45.069183232,S,4,0,50,19375,0,N,N,N
RM,582A7A3919942743011A3D5FD9C9839F,2021-01-20 09:15:00.049453824,B,1,31,300,18530,0,N,N,N
RM,1485EAD20B4F0704EF394F0AB407C55A,2021-01-20 09:15:00.682617088,B,1,0,15,19380,0,N,N,Y
