Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
PO,2021-01-20 09:07:58.351364096,58300,8,63B5DF0CDBD76FEC4539B480DFA8AE65,0F2B865448D160F1A06BE46A178DD407
PO,2021-01-20 09:07:58.351379456,58300,8,63B5DF0CDBD76FEC4539B480DFA8AE65,EFE01C80F71DA07A14702ACCD321DD30
PO,2021-01-20 09:07:58.351394560,58300,9,63B5DF0CDBD76FEC4539B480DFA8AE65,4FD0C17353BD1DB2D0A1E708B19855BB
PO,2021-01-20 09:07:58.351409920,58300,2,6E45CCA52FCB6459B3C908ECAFA145FB,4FD0C17353BD1DB2D0A1E708B19855BB
PO,2021-01-20 09:07:58.351425280,58300,8,6E45CCA52FCB6459B3C908ECAFA145FB,0D28FF5B82D7EE72AF8E743A6B1DB9A1
PO,2021-01-20 09:07:58.351440384,58300,8,6E45CCA52FCB6459B3C908ECAFA145FB,B2E41377F584A56B4B470331C3D41BCB
PO,2021-01-20 09:07:58.351455744,58300,2,6E45CCA52FCB6459B3C908ECAFA145FB,C3F208AA7FA3D2701B81256D99CC5153
PO,2021-01-20 09:07:58.351470848,58300,5,BC2D7EE12FE52D3AF4B060FD0D62C04F,C3F208AA7FA3D2701B81256D99CC5153
PO,2021-01-20 09:07:58.351486208,58300,2,B39716361323D1167E2653F71F213442,C3F208AA7FA3D2701B81256D99CC5153
PO,2021-01-20 09:07:58.351501568,58300,1,99809CEFA3071F123A73885A0A6B1510,C3F208AA7FA3D2701B81256D99CC5153
PO,2021-01-20 09:07:58.351516672,58300,9,99809CEFA3071F123A73885A0A6B1510,473ED6E2263881A5B198299132700879
PO,2021-01-20 09:07:58.351532032,58300,10,99809CEFA3071F123A73885A0A6B1510,2238CDA8348644A02F82FF28A4804F16
PO,2021-01-20 09:07:58.351547136,58300,50,107DA377584E96662FC8ABA85C474CEA,D66B64F496333ED99CB94E14661E315D
PO,2021-01-20 09:07:58.351562496,58300,30,B23F4EEF47DF83D62EB12C0A0EECAE97,D66B64F496333ED99CB94E14661E315D
RM,2021-01-20 09:15:01.069824256,58375,2,478B5262E6255933890ED9F95D8B1E12,7CCE0403CC615F9E586B764103D20AEA
RM,2021-01-20 09:15:01.069839360,58400,4,478B5262E6255933890ED9F95D8B1E12,820504A7EBEBFD8170A43F66294FF997
RM,2021-01-20 09:15:01.094223104,58305,17,F70B02961A53AF91E4D9581865A726EF,34E691B946CDE4F2821766652DFB620B
RM,2021-01-20 09:15:01.094238208,58300,33,B23F4EEF47DF83D62EB12C0A0EECAE97,34E691B946CDE4F2821766652DFB620B
RM,2021-01-20 09:15:01.200439552,58400,4,1C469D4B2F265CD278F21A5124C7841B,820504A7EBEBFD8170A43F66294FF997
RM,2021-01-20 09:15:01.200454656,58400,3,1C469D4B2F265CD278F21A5124C7841B,595479F6D39AAB10338C49CA94711A32
RM,2021-01-20 09:15:02.021011456,58400,5,897D4EF7AE839CA06F170D6A1FD2ED36,595479F6D39AAB10338C49CA94711A32
RM,2021-01-20 09:15:02.021026560,58400,1,897D4EF7AE839CA06F170D6A1FD2ED36,A54CAA0F310317553BD1FB74041626C2
RM,2021-01-20 09:15:07.453597952,58400,1,4BAB9817AAE86356A420D8171BDDDA0E,A54CAA0F310317553BD1FB74041626C2
RM,2021-01-20 09:15:11.290649344,58400,7,954D284B3125F6CDAEF7D930E83299F6,A54CAA0F310317553BD1FB74041626C2
RM,2021-01-20 09:15:11.290664704,58400,11,954D284B3125F6CDAEF7D930E83299F6,6942331D4700BC92582D544C82AD2268
RM,2021-01-20 09:15:11.290679808,58400,8,954D284B3125F6CDAEF7D930E83299F6,353DAC8CAF945F1F7D7724CA7CEDEDF5
RM,2021-01-20 09:15:11.290695168,58400,8,954D284B3125F6CDAEF7D930E83299F6,7E52034CD1E36166071633503D06823C
RM,2021-01-20 09:15:11.290710528,58400,10,954D284B3125F6CDAEF7D930E83299F6,56E3FDFBD9A4777458CCCABA20DEEEF3
RM,2021-01-20 09:15:11.290725632,58400,5,954D284B3125F6CDAEF7D930E83299F6,9BBEB8469D2C44194F23F6C26D9E1E41
RM,2021-01-20 09:15:11.290771456,58400,5,692AFB21BEAC48FD995DCB655A252088,9BBEB8469D2C44194F23F6C26D9E1E41
RM,2021-01-20 09:16:21.960235520,58490,2,CC7C6014D7A25824B05E0B21E910654B,7FAF4CDD4959E3AB1BC5627807AAEDF6
RM,2021-01-20 09:16:21.960250880,58490,8,CC7C6014D7A25824B05E0B21E910654B,200F23CB9D58E068D87966BB7F4EAB8A
RM,2021-01-20 09:16:24.266418432,58495,12,744D3278E0C37A53BE3502DF21948C85,62423AA720AA756D200ABAE5C922594B
RM,2021-01-20 09:16:25.710189824,58500,9,58823BF0372385C5183D898FA1D0247C,CD6255BAF4438718B6A47FBD4E5C3BDF
RM,2021-01-20 09:16:39.724761856,58500,3,6FCDA6E2D2BFBDF6A951EB108A1CC1ED,4D02CA5C2CE6B74A211B8AB8D94B4AB1
RM,2021-01-20 09:16:58.040145920,58500,1,6FCDA6E2D2BFBDF6A951EB108A1CC1ED,23F7E13CC33643F58BA45498D5963C8F
RM,2021-01-20 09:16:58.042617856,58500,6,6FCDA6E2D2BFBDF6A951EB108A1CC1ED,B7DF8AC041558FD2332020D5B183E600
RM,2021-01-20 09:16:58.042632960,58405,2,2A6FD71B4836E97BC838CA75319E0C57,B7DF8AC041558FD2332020D5B183E600
RM,2021-01-20 09:16:58.042648320,58400,7,ABEE18932CEDBC71EEBD679C3F77CB76,B7DF8AC041558FD2332020D5B183E600
RM,2021-01-20 09:16:58.042663680,58395,33,F48E436046CC2E9B4938613C2B60988A,B7DF8AC041558FD2332020D5B183E600
RM,2021-01-20 09:16:58.044769280,58385,2,6068A77FBAC82770E8EA5148E9ED2DD9,278CD9D5D5B7452F38DB23FCFD6F8004
RM,2021-01-20 09:17:23.268386816,58465,1,604A71F98EFA8BEAFA9D18982727CCEE,E1CDE116637841BCC7B335E4BCEF1ADF
RM,2021-01-20 09:17:25.894348032,58510,1,3C4D9440037EA87E2DCEFBA4E2A751A6,3A6536CD27C8CE63613D242B51F32F14
RM,2021-01-20 09:17:26.348342784,58505,1,56D2BABD76B7DAA8792890102AFA4F65,3A6536CD27C8CE63613D242B51F32F14
