Record Indicator,Order Number,Transaction Time,Buy/Sell Indicator,Activity Type,Volume Disclosed,Volume Original,Limit Price,Trigger Price,Market Order Flag,Stop Loss Flag,IO Flag
PO,3968DD3F19C4500F8AA57DFD88382673,2021-01-20 09:00:01.328247040,B,1,0,1,23820,0,N,N,N
PO,4B157CE93B0947F89CC2E676F42D0E8B,2021-01-20 09:00:02.019439616,B,1,0,80,21895,0,N,N,N
PO,854CC2684C03B6EA82C533099516EEAB,2021-01-20 09:00:02.236175616,B,1,0,50,23895,0,N,N,N
PO,8FDAC83E938A7EA23317695E3AD845FD,2021-01-20 09:00:02.638793984,B,1,0,500,25200,0,N,N,N
PO,E9CD04E38A7FF20987EEFDA959F2EF75,2021-01-20 09:00:03.445449728,S,1,0,1,26870,0,N,N,N
PO,A96401AEF3DE312FF58CD479B3748725,2021-01-20 09:00:08.921829120,B,1,0,500,21365,0,N,N,N
PO,FCD3A1BBEBF0B2ECB42C243FC57DD006,2021-01-20 09:00:12.882553088,B,1,0,100,22500,0,N,N,N
PO,AFC563BA00DC029A881F06FEE05D42E4,2021-01-20 09:00:12.882904064,S,1,0,25,30000,0,N,N,N
PO,2D6AAFC8E86DFB4621614777236D015E,2021-01-20 09:00:19.076538112,B,1,0,100,25105,0,N,N,N
PO,74830A22274EBFEE9DF6BBC808B91E38,2021-01-20 09:00:20.055175680,S,1,0,12,26980,0,N,N,N
PO,5316D9912A245D7398AC6614F5139DEE,2021-01-20 09:00:29.219634944,B,1,0,50,23895,0,N,N,N
PO,F91F18AD9C69D1574E1EF592D62743CC,2021-01-20 09:00:42.142654464,S,1,0,12,29200,0,N,N,N
PO,01E552FBEEE868199FE2A37907E3BCBF,2021-01-20 09:01:08.317703168,B,1,0,1,24800,0,N,N,N
PO,2882C6CAFF8E89839C695EDD87F5F4CF,2021-01-20 09:01:08.317932032,B,1,0,100,24090,0,N,N,N
PO,DC7E817A5882ABA4F17A2EFBD66CEEBC,2021-01-20 09:01:08.318420480,B,1,0,200,23360,0,N,N,N
PO,B80F6BB49F61FACD9DFEB228BC3313DA,2021-01-20 09:01:08.318756096,B,1,0,200,22280,0,N,N,N
PO,D506CA242D52D7146956DBC484055268,2021-01-20 09:01:14.483123712,S,1,0,7,29160,0,N,N,N
PO,0E2629097FB5EF9DDC04108CD2370FA0,2021-01-20 09:01:27.811218176,S,1,0,200,30400,0,N,N,N
PO,0E2629097FB5EF9DDC04108CD2370FA0,2021-01-20 09:01:35.667526144,S,4,0,200,29940,0,N,N,N
PO,377B8EC2651B2BFDEAB685EF9ED91D67,2021-01-20 09:01:36.215118336,S,1,0,1,25890,0,N,N,N
PO,52E0555DEB3FEEBD80174A2729F12A07,2021-01-20 09:01:37.213440000,B,1,0,1,24205,0,N,N,N
PO,FB8EF0B354B9F8E92A2431007B1CC912,2021-01-20 09:02:24.734558208,S,1,0,250,25800,0,N,N,N
PO,567E87342639284A0DDA6E33CF940020,2021-01-20 09:02:25.662063616,B,1,0,40,22010,0,N,N,N
PO,4A34552DFE900A6517ABF87B884ABC09,2021-01-20 09:03:05.096252416,B,1,0,80,25205,0,N,N,N
PO,A5B2C640F9608F5AA0201631F69EB358,2021-01-20 09:03:57.007186944,S,1,0,25,26865,0,N,N,N
PO,DBD6F5559EFA55AD720CC3EE80B55984,2021-01-20 09:04:19.293777408,B,1,0,25,25310,0,N,N,N
PO,5DAB64CE2AD381D244B01FC93BEA86B9,2021-01-20 09:04:22.336868352,B,1,0,25,25310,0,N,N,N
PO,D091EB4AB8F4985E04BE2704DFD3840D,2021-01-20 09:04:25.321823232,B,1,0,25,25310,0,N,N,N
PO,B55A44897F31C8214EB940AE7046F4DE,2021-01-20 09:04:28.663085824,B,1,0,25,25310,0,N,N,N
PO,96C6EE8B9BD7FE47B6A893D3FDB9E4B5,2021-01-20 09:04:32.044189440,B,1,0,25,25310,0,N,N,N
PO,131033E35D6F4B4B90C8129A61F97909,2021-01-20 09:04:40.803695616,S,1,0,25,25790,0,N,N,N
PO,F6A23A5CD717FA6304F05CA399F65E4B,2021-01-20 09:04:43.789733888,S,1,0,25,25790,0,N,N,N
PO,3A92FADA2193B6720E3D2767EE61048C,2021-01-20 09:04:47.226150400,S,1,0,25,25790,0,N,N,N
PO,B200A19CA18EF8301FA95935B1EFE545,2021-01-20 09:05:13.230468864,B,1,0,1,24705,0,N,N,N
PO,9272CD71F96794487E896BB6E2635609,2021-01-20 09:05:27.490615808,S,1,0,200,27200,0,N,N,N
PO,1D9DDBDA3A4E987AEE39399523CB2523,2021-01-20 09:05:33.698196480,S,1,0,84,27200,0,N,N,N
PO,E5E3F0852C633114EF98A91095049A1D,2021-01-20 09:06:12.600891136,S,1,0,200,25785,0,N,N,N
RM,74BE55B3F119278654CEBF5DA8133A77,2021-01-20 09:15:00.033798144,B,1,0,50,25345,0,N,N,N
RM,4B1E928A0515F44FB95CCC3B75C346DE,2021-01-20 09:15:00.269668608,S,1,2,19,29270,0,N,N,N
RM,D0BD12C901ADF3CA821231E388675A77,2021-01-20 09:15:04.535079936,B,1,13,13,24980,0,N,N,N
RM,B1FFC6176BE2383D03F0D1DEA73297FB,2021-01-20 09:15:06.035064576,S,1,17,17,26265,0,N,N,N
RM,20111F153752A69BB422C682023BE460,2021-01-20 09:15:07.535064576,B,1,15,15,24610,0,N,N,N
RM,0ACD03AFCDEB1629F3F62347BC836BCC,2021-01-20 09:15:07.741149952,B,1,46,454,22050,0,N,N,N
RM,463935FA811B83CC7FD8C6FDB49D32FF,2021-01-20 09:15:07.741226240,B,1,5,5,25350,0,N,N,N
RM,253D5130A27193FE7CA581905BA16EEE,2021-01-20 09:15:07.741241344,S,1,5,5,25780,0,N,N,N
RM,CC3D29E9DEB40E636EC41B65D4745E0B,2021-01-20 09:15:11.166030848,B,1,98,974,20530,0,N,N,N
RM,7F5801940B77034C7F832012313391C2,2021-01-20 09:15:13.535064576,B,1,9,9,25360,0,N,N,N
RM,463935FA811B83CC7FD8C6FDB49D32FF,2021-01-20 09:15:13.535156224,B,4,5,5,25365,0,N,N,N
RM,7F5801940B77034C7F832012313391C2,2021-01-20 09:15:15.035064576,B,3,9,9,25360,0,N,N,N
RM,463935FA811B83CC7FD8C6FDB49D32FF,2021-01-20 09:15:15.035156224,B,4,5,5,25350,0,N,N,N
RM,BE0C0043B835E547157FCD98B81DB8D9,2021-01-20 09:15:15.649032704,S,1,18,166,30160,0,N,N,N
RM,72B80483188DE333E1C052EA82C55550,2021-01-20 09:15:24.303390464,B,1,0,1,23570,0,N,N,N
RM,0030CB63E03667B034CB91D6F6735D27,2021-01-20 09:15:24.344985856,B,1,0,1,23060,0,N,N,N
RM,131033E35D6F4B4B90C8129A61F97909,2021-01-20 09:15:24.791992064,S,4,3,25,25790,0,N,N,N
RM,F6A23A5CD717FA6304F05CA399F65E4B,2021-01-20 09:15:24.931991552,S,4,3,25,25790,0,N,N,N
RM,3A92FADA2193B6720E3D2767EE61048C,2021-01-20 09:15:25.024505600,S,4,3,25,25790,0,N,N,N
RM,DBD6F5559EFA55AD720CC3EE80B55984,2021-01-20 09:15:25.208618240,B,4,3,25,25310,0,N,N,N
RM,5DAB64CE2AD381D244B01FC93BEA86B9,2021-01-20 09:15:25.297012224,B,4,3,25,25310,0,N,N,N
RM,D091EB4AB8F4985E04BE2704DFD3840D,2021-01-20 09:15:25.475265536,B,4,3,25,25310,0,N,N,N
